,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,2
292,3
293,2
294,1
295,0
296,5
297,8
298,14
299,14
300,18
301,24
302,29
303,31
304,28
305,22
306,23
307,18
308,18
309,13
310,12
311,9
312,8
313,3
314,3
315,2
316,2
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,3
332,1
333,0
334,3
335,10
336,15
337,23
338,32
339,41
340,47
341,52
342,53
343,50
344,45
345,40
346,43
347,40
348,42
349,40
350,29
351,27
352,19
353,8
354,5
355,0
356,2
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,2
371,2
372,2
373,4
374,13
375,18
376,37
377,48
378,60
379,77
380,85
381,79
382,76
383,77
384,70
385,71
386,71
387,73
388,79
389,76
390,76
391,66
392,49
393,31
394,15
395,5
396,1
397,2
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,1
410,3
411,4
412,6
413,15
414,36
415,53
416,72
417,91
418,88
419,79
420,79
421,76
422,72
423,65
424,68
425,74
426,81
427,80
428,77
429,95
430,97
431,89
432,82
433,52
434,37
435,18
436,2
437,2
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,5
451,6
452,14
453,33
454,60
455,61
456,68
457,69
458,48
459,64
460,61
461,53
462,51
463,51
464,55
465,57
466,56
467,63
468,71
469,68
470,74
471,97
472,98
473,65
474,52
475,33
476,12
477,1
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,3
490,5
491,13
492,27
493,49
494,67
495,65
496,58
497,56
498,56
499,46
500,40
501,35
502,22
503,18
504,26
505,32
506,42
507,52
508,49
509,47
510,50
511,75
512,94
513,84
514,61
515,45
516,18
517,3
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,1
529,3
530,15
531,27
532,51
533,53
534,74
535,59
536,60
537,59
538,41
539,33
540,19
541,10
542,7
543,5
544,11
545,26
546,34
547,21
548,19
549,19
550,27
551,51
552,78
553,82
554,71
555,57
556,23
557,8
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,2
569,4
570,13
571,33
572,52
573,51
574,57
575,55
576,53
577,45
578,43
579,31
580,18
581,2
582,1
583,4
584,17
585,34
586,34
587,15
588,6
589,10
590,10
591,28
592,58
593,85
594,72
595,67
596,30
597,10
598,3
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,4
609,6
610,12
611,51
612,47
613,45
614,58
615,58
616,40
617,32
618,51
619,27
620,23
621,7
622,1
623,5
624,15
625,27
626,24
627,11
628,4
629,5
630,9
631,16
632,44
633,77
634,71
635,65
636,35
637,11
638,4
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,1
648,5
649,6
650,21
651,49
652,59
653,49
654,62
655,61
656,27
657,28
658,24
659,37
660,13
661,3
662,1
663,1
664,11
665,23
666,17
667,9
668,3
669,6
670,5
671,15
672,43
673,67
674,76
675,66
676,42
677,12
678,4
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,4
689,7
690,20
691,51
692,58
693,43
694,55
695,49
696,22
697,19
698,17
699,19
700,13
701,0
702,0
703,0
704,6
705,7
706,6
707,3
708,0
709,5
710,8
711,15
712,42
713,60
714,74
715,72
716,39
717,13
718,5
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,1
728,3
729,9
730,21
731,44
732,65
733,44
734,57
735,39
736,18
737,11
738,9
739,6
740,2
741,0
742,1
743,0
